rank	name	country	gender	birthday	rating	age	title
193.	Karnaukhova, Elmira 	RUS	F	1985	2319	30	WGM
194.	Pham, Le Thao Nguyen 	VIE	F	1987	2319	28	IM
195.	Severina, Maria 	RUS	F	1995	2319	20	WIM
196.	Worek, Joanna 	POL	F	1986	2318	29	WGM
197.	Styazhkina, Anna 	RUS	F	1997	2318	18	WIM
198.	Muminova, Nafisa 	UZB	F	1990	2318	25	WGM
199.	Fuchs, Judith 	GER	F	1990	2317	25	WIM
200.	Repkova, Eva 	SVK	F	1975	2317	40	IM
201.	Gong, Qianyun 	SIN	F	1985	2317	30	WIM
202.	Demina, Julia 	RUS	F	1969	2316	46	WGM
203.	Voiska, Margarita 	BUL	F	1963	2316	52	WGM
204.	Hojjatova, Aydan 	AZE	F	1999	2316	16	WFM
205.	Gomes, Mary Ann 	IND	F	1989	2315	26	WGM
206.	Tomilova, Elena 	RUS	F	1986	2315	29	WIM
207.	Kostiuk, Tatiana 	UKR	F	1982	2315	33	WGM
208.	Cosma, Elena-Luminita 	ROU	F	1972	2315	43	WGM
209.	Blagojevic, Tijana 	MNE	F	1997	2315	18	WIM
210.	Duisenova, Madina 	KAZ	F	1983	2315	32	WGM
211.	Soloviova, Liza 	UKR	F	1993	2315	22	WGM
212.	Mammadova, Gulnar 	AZE	F	1991	2314	24	WGM
213.	Collas, Silvia 	FRA	F	1974	2314	41	IM
214.	Vaishali R 	IND	F	2001	2314	14	WFM
215.	Vasilkova, Svetlana 	RUS	F	1988	2314	27	WIM
216.	Graf, Rena 	GER	F	1966	2314	49	WGM
217.	Gvetadze, Sofio 	GEO	F	1983	2314	32	IM
218.	Kadimova, Ilaha 	AZE	F	1975	2314	40	WGM
219.	Botsari, Anna-Maria 	GRE	F	1972	2313	43	WGM
220.	Darchia, Diana 	GEO	F	1977	2313	38	WGM
221.	Sofieva, Ainur 	AZE	F	1970	2313	45	WGM
222.	Amina, Battsooj 	MGL	F	2001	2313	14	
223.	Gara, Anita 	HUN	F	1983	2312	32	IM
224.	Akhsharumova, Anna M 	USA	F	1957	2310	58	WGM
225.	Toma, Katarzyna 	POL	F	1985	2310	30	WGM
226.	Kantane, Anna 	POL	F	1995	2310	20	WIM
227.	Franciskovic, Borka 	CRO	F	1988	2309	27	WIM
228.	Rodriguez Rueda, Paula Andrea 	COL	F	1996	2309	19	IM
229.	Tsadzikidze, Natia 	GEO	F	1983	2308	32	WIM
230.	Edzgveradze, Natalia 	GEO	F	1975	2307	40	WGM
231.	Kursova, Maria 	ARM	F	1986	2307	29	WGM
232.	Goletiani, Rusudan 	USA	F	1980	2306	35	IM
233.	Janjghava, Natia 	GEO	F	1972	2306	43	WIM
234.	Vasilevich, Irina 	RUS	F	1985	2305	30	IM
235.	Prudnikova, Svetlana 	SRB	F	1967	2304	48	WGM
236.	Krupkova, Petra 	CZE	F	1976	2303	39	WGM
237.	Pina Vega, Sulennis 	CUB	F	1981	2302	34	WGM
238.	Klink, Tamara 	GER	F	1967	2301	48	WGM
239.	Ohme, Melanie 	GER	F	1990	2301	25	WGM
240.	Arribas Robaina, Maritza 	CUB	F	1971	2300	44	WGM
241.	De Jong-Muhren, Bianca 	NED	F	1986	2300	29	WGM
242.	Klinova, Masha 	ISR	F	1968	2300	47	IM
243.	Gaprindashvili, Nona 	GEO	F	1941	2299	74	GM
244.	Borulya, Ekaterina Uriivna 	GER	F	1969	2299	46	WGM
245.	Zigangirova, Sofya 	KAZ	F	1983	2299	32	WIM
246.	Brunello, Marina 	ITA	F	1994	2298	21	FM
247.	Galojan, Lilit 	ARM	F	1983	2298	32	IM
248.	Dordzhieva, Dinara 	RUS	F	1999	2298	16	WIM
249.	Nikolova, Adriana 	BUL	F	1988	2297	27	WGM
250.	Azarova, Nadezhda 	BLR	F	1983	2296	32	WIM
251.	Umudova, Nargiz 	AZE	F	1989	2296	26	WGM
252.	Melamed, Tatjana 	GER	F	1974	2296	41	WGM
253.	Khokhlova, Daria 	RUS	F	1999	2296	16	
254.	Khomeriki, Nino 	GEO	F	1998	2295	17	WFM
255.	Timofeeva, Ekaterina 	RUS	F	1989	2295	26	WIM
256.	Gurieli, Nino 	GEO	F	1961	2295	54	IM
257.	Vojinovic, Jovana 	SRB	F	1992	2295	23	WGM
258.	Fataliyeva, Ulviyya 	AZE	F	1996	2294	19	WIM
259.	Warakomska, Anna 	POL	F	1992	2292	23	WIM
260.	Llaudy Pupo, Lisandra 	CUB	F	1988	2292	27	WIM
261.	Tammert, Iamze 	GER	F	1971	2292	44	WIM
262.	Olsarova, Tereza 	CZE	F	1991	2292	24	WGM
263.	Osmanodja, Filiz 	GER	F	1996	2291	19	WIM
264.	Abrahamyan, Tatev 	USA	F	1988	2291	27	WGM
265.	Shved, Irina 	UKR	F	1970	2290	45	WIM
266.	Schmidt, Jessica 	GER	F	1979	2290	36	WGM
267.	Nakhbayeva, Guliskhan 	KAZ	F	1991	2290	24	WGM
268.	Papp, Petra 	HUN	F	1993	2290	22	WGM
269.	Raghavi, N. 	IND	F	1989	2290	26	WIM
270.	Lopatskaya, Elena V. 	RUS	F	1976	2290	39	WIM
271.	Keller-Hermann, Edith 	GER	F	1921	2290	94	WGM
272.	Mikhaylova, Irina 	RUS	F	1963	2288	52	WGM
273.	Ning, Chunhong 	CHN	F	1968	2288	47	WGM
274.	Buksa, Nataliya 	UKR	F	1996	2287	19	WGM
275.	Gu, Xiaobing 	CHN	F	1985	2286	30	WGM
276.	Maisuradze, Nino 	FRA	F	1982	2286	33	WGM
277.	Geldyeva, Mekhri 	TKM	F	1973	2285	42	WGM
278.	Gu, Tianlu 	CHN	F	1997	2285	18	WIM
279.	Chistiakova, Tamara 	RUS	F	1986	2285	29	WFM
280.	Mashinskaya, Iulia 	RUS	F	1977	2285	38	IM
281.	Gesser, Bella 	ISR	F	1985	2284	30	WGM
282.	Amura, Claudia 	ARG	F	1970	2283	45	WGM
283.	Sheremetieva, Marina 	MDA	F	1963	2283	52	WGM
284.	Ubiennykh, Ekaterina 	RUS	F	1983	2283	32	WIM
285.	Bykova, Anastasia 	RUS	F	1997	2283	18	WFM
286.	Hoang, Thi Bao Tram 	VIE	F	1987	2283	28	WGM
287.	Wagener, Anna 	LUX	F	1976	2282	39	WGM
288.	Misanovic, Vesna 	BIH	F	1964	2282	51	WGM
289.	Marrero Lopez, Yaniet 	CUB	F	1983	2281	32	WGM
290.	Tqeshelashvili, Sopio 	GEO	F	1979	2281	36	WGM
291.	Manakova, Maria 	SRB	F	1974	2281	41	WGM
292.	Win Mon, Lwin 	MYA	F	1990	2281	25	
293.	Manakov, Marina 	GER	F	1969	2280	46	WIM
294.	Hernandez Moya, Yuleisy 	CUB	F	1992	2280	23	WIM
295.	Korkina, Svetlana 	RUS	F	1971	2280	44	WIM
296.	Sharevich, Anna 	USA	F	1985	2280	30	WGM
297.	Klek, Hanna Marie 	GER	F	1995	2279	20	
298.	Tsolakidou, Stavroula 	GRE	F	2000	2279	15	WIM
299.	Stetsko, Lanita 	BLR	F	1993	2278	22	FM
300.	Ivakhinova, Inna 	RUS	F	1989	2278	26	WGM
301.	Goczo, Melinda 	HUN	F	1983	2278	32	WIM
302.	Zhuravleva, Olga 	RUS	F	1984	2278	31	WIM
303.	Trabert, Bettina 	GER	F	1969	2278	46	WGM
304.	Rogule, Laura 	LAT	F	1988	2277	27	WGM
305.	Lakos, Nikoletta 	HUN	F	1978	2277	37	WGM
306.	Lanchava, Tea 	NED	F	1974	2276	41	IM
307.	Burtasova, Anna 	RUS	F	1987	2276	28	WGM
308.	Schepetkova, Margarita 	RUS	F	1988	2275	27	WIM
309.	Borzenkova, Irina 	UKR	F	1976	2275	39	
310.	Gershnik, Anna 	USA	F	1975	2275	40	WGM
311.	Komiagina, Maria 	RUS	F	1984	2274	31	WIM
312.	Schoene, Maria 	GER	F	1987	2274	28	WIM
313.	Congiu, Mathilde 	FRA	F	1989	2274	26	WIM
314.	Iljushina, Olga 	RUS	F	1981	2273	34	WGM
315.	Lu, Xiaosha 	CHN	F	1973	2273	42	WIM
316.	Calotescu, Ana-Cristina 	ROU	F	1983	2272	32	WGM
317.	Bronnikova, Elizaveta 	RUS	F	1985	2272	30	WIM
318.	Bartel, Marta 	POL	F	1988	2271	27	WGM
319.	Dorofeeva, Anna 	RUS	F	1979	2271	36	WIM
320.	Kozhakina, Alena V. 	RUS	F	1992	2271	23	WFM
321.	Murashova, Ekaterina 	RUS	F	1987	2271	28	WIM
322.	Chelushkina, Irina 	SRB	F	1961	2271	54	WGM
323.	Kucherova, Lija 	RUS	F	1986	2271	29	WGM
324.	Gevorgyan, Irina 	UZB	F	1990	2270	25	WIM
325.	Hoang, Thi Nhu Y 	VIE	F	1993	2270	22	WIM
326.	Navrotescu, Andreea-Cristiana 	FRA	F	1996	2270	19	WFM
327.	Juergens, Vera 	GER	F	1969	2270	46	WGM
328.	Pares Vives, Natalia 	ESP	F	1955	2270	60	FM
329.	Cibickova, Zuzana 	SVK	F	1988	2270	27	WGM
330.	Vaganian, Irina 	ARM	F	1963	2269	52	WIM
331.	Balaian, Alina 	RUS	F	1992	2269	23	WIM
332.	Mamedjarova, Zeinab 	AZE	F	1983	2269	32	WGM
333.	Dauletova, Gulmira 	KAZ	F	1988	2269	27	WIM
334.	Khlichkova, Tatiana 	RUS	F	1994	2268	21	WFM
335.	Novikova, Anna 	RUS	F	1985	2268	30	WIM
336.	Rohonyan, Katerina 	USA	F	1984	2267	31	WGM
337.	Meier, Annemarie 	GER	F	1957	2267	58	
338.	Babayeva, Fanara 	AZE	F	1972	2267	43	WFM
339.	Fominykh, Maria 	RUS	F	1987	2267	28	WIM
340.	Linares Napoles, Oleiny 	CUB	F	1983	2266	32	WGM
341.	Mueller-Seps, Monika 	SUI	F	1986	2266	29	WGM
342.	Tsatsalashvili, Keti 	GEO	F	1992	2266	23	WGM
343.	Chumpitaz, Ann 	PER	F	1994	2265	21	WIM
344.	Klovane, Astra 	LAT	F	1944	2265	71	
345.	Boytsun, Olena 	UKR	F	1983	2264	32	WIM
346.	Arutyunova, Diana 	UKR	F	1988	2264	27	WGM
347.	Voicu-Jagodzinsky, Carmen 	ROU	F	1981	2264	34	WGM
348.	Chirivi C, Jenny Astrid 	COL	F	1990	2264	25	WIM
349.	Robles Garcia, Claudia 	ESP	F	1990	2263	25	WIM
350.	Maric, Mirjana 	SRB	F	1970	2263	45	WGM
351.	Cheremnova, Tamara 	RUS	F	1989	2263	26	WIM
352.	Roschina, Tatiana 	RUS	F	1976	2262	39	WGM
353.	Loktionova, Natalia 	RUS	F	1974	2262	41	WIM
354.	Ambartsumova, Karina 	RUS	F	1989	2262	26	WGM
355.	Schut, Lisa 	NED	F	1994	2262	21	WIM
356.	Sziva, Erika 	NED	F	1967	2262	48	WGM
357.	Mirzoeva, Elmira 	RUS	F	1981	2262	34	WGM
358.	Grigoryeva, Natalya 	RUS	F	1982	2262	33	
359.	Kryukova, Irina 	RUS	F	1968	2261	47	WGM
360.	Lelekova, Olga 	RUS	F	1987	2261	28	WIM
361.	Raeva, Elitsa 	BUL	F	1987	2261	28	WIM
362.	Lalic, Susan K 	ENG	F	1965	2260	50	IM
363.	Porat, Maya 	ISR	F	1991	2260	24	WIM
364.	Kostyuk, Tatiana 	RUS	F	1979	2260	36	
365.	Rubzova, Tatiana 	RUS	F	1962	2260	53	WGM
366.	Ivanka, Maria 	HUN	F	1950	2260	65	WGM
367.	Paramzina, Anastasya 	RUS	F	1998	2260	17	WFM
368.	Kuleshova, Nadezhda N 	RUS	F	1985	2260	30	
369.	Kurbonboeva, Sarvinoz 	UZB	F	1994	2260	21	WIM
370.	Lidonova, Gulnara 	RUS	F	1973	2260	42	WFM
371.	Ibragimova, Lilia 	RUS	F	1966	2260	49	
372.	Karavaeva, Olga 	RUS	F	1977	2260	38	WIM
373.	Meshcheriakova, Evgenia 	RUS	F	1985	2259	30	WGM
374.	Miranda Llanes, Yerisbel 	CUB	F	1987	2259	28	WIM
375.	Collazo Hidalgo-Gato, Niala 	ESP	F	1983	2259	32	WIM
376.	Bayer, Dorota 	POL	F	1980	2259	35	WIM
377.	Krivec, Jana 	SLO	F	1980	2259	35	WGM
378.	Pitam, Ella 	ISR	F	1977	2259	38	WGM
379.	Aranaz Murillo, Amalia 	ESP	F	1995	2259	20	WIM
380.	Ivana Maria, Furtado 	IND	F	1999	2259	16	WIM
381.	Safranska, Anda 	FRA	F	1960	2259	55	WGM
382.	Ratcu, Tatiana 	BRA	F	1979	2259	36	WIM
383.	An, Yangfeng 	CHN	F	1963	2259	52	WIM
384.	Foisor, Sabina-Francesca 	USA	F	1989	2258	26	WGM
385.	Shulepina, Kristina 	RUS	F	1987	2258	28	WIM
386.	Drogovoz, Irina 	RUS	F	1999	2258	16	
387.	Malina, Diana 	RUS	F	1977	2257	38	WFM
388.	Tantsiura, Maria 	UKR	F	1996	2257	19	WIM
389.	Kulkarni Bhakti 	IND	F	1992	2257	23	CM
390.	Davletbayeva, Madina 	KAZ	F	1989	2257	26	WIM
391.	Markovic, Gordana 	SRB	F	1951	2257	64	WIM
392.	Felkai, Agnes 	HUN	F	1974	2257	41	
393.	Popova, Natalija 	BLR	F	1976	2257	39	WIM
394.	Olarasu, Gabriela 	ROU	F	1964	2256	51	WGM
395.	Delgado Crespo, Mairelys 	ESP	F	1974	2256	41	WGM
396.	Schneider, Veronika 	HUN	F	1987	2256	28	WGM
397.	Corke, Anya S 	ENG	F	1990	2255	25	WGM
398.	Kalinina, Vladislava 	UKR	F	1980	2255	35	WIM
399.	Efroimski, Marsel 	ISR	F	1995	2255	20	WIM
400.	Mohota, Nisha 	IND	F	1980	2255	35	IM
401.	Dimitrijevic, Aleksandra 	BIH	F	1986	2254	29	WGM
402.	Ruchieva, Natalia 	UKR	F	1960	2254	55	WGM
403.	Le, Thanh Tu 	VIE	F	1985	2254	30	WGM
404.	Delemarre, Isabel 	GER	F	1978	2254	37	WIM
405.	Heinemann, Josefine 	GER	F	1998	2253	17	
406.	Agrest, Svetlana 	SWE	F	1966	2253	49	WIM
407.	Veroci, Zsuzsa 	HUN	F	1949	2253	66	WGM
408.	Romanova, Inna 	BLR	F	1975	2253	40	WGM
409.	Xiao, Yue 	CHN	F	1987	2252	28	
410.	Gao, Zhiqian 	CHN	F	1973	2252	42	
411.	Havanecz, Bianka 	HUN	F	1994	2252	21	WIM
412.	Calzetta Ruiz, Monica 	ESP	F	1972	2252	43	WGM
413.	Makarenko, Alexandra 	RUS	F	1996	2252	19	WFM
414.	Andreieva, Olga A 	UKR	F	1937	2250	78	WIM
415.	Paridar, Shadi 	IRI	F	1986	2250	29	WGM
416.	Zhang, Jilin 	CHN	F	1986	2250	29	WGM
417.	Sheldon, Ruth 	ENG	F	1980	2250	35	WIM
418.	Needham, Teresa 	ENG	F	1965	2250	50	WIM
419.	Savereide, Diane 	USA	F	1954	2250	61	WIM
420.	Puljek-Salai, Zorica 	CRO	F	1965	2250	50	WIM
421.	Nguyen, Thi Mai Hung 	VIE	F	1994	2249	21	WGM
422.	Goncharova, Natalia Olegovna 	RUS	F	1961	2249	54	WFM
423.	Petrova, Irina 	UKR	F	1993	2249	22	WIM
424.	Ovchinnikova, Julia 	RUS	F	1965	2249	50	WIM
